Id,Designator,Footprint,Quantity,Comment,Supplier and ref
1,"C1, C2",C_0201_0603Metric,2,10uF,
2,"C3, C18",C_0402_1005Metric,2,1uF,
3,"C4, C5, C19, C20, C22, C23, C24, C26",C_0402_1005Metric,8,0.1uF,
4,"C15, C16",C_0402_1005Metric,2,33pF,
5,"C17, C21, C25",C_0402_1005Metric,3,.1uF,
6,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
7,"J2, J3",PinHeader_1x20_P2.54mm_Vertical,2,Conn_01x20,
8,J4,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
9,"R1, R2",C_0402_1005Metric,2,5.1K,
10,"R3, R4",C_0402_1005Metric,2,27,
11,"R5, R7, R8",C_0402_1005Metric,3,1K,
12,R6,C_0402_1005Metric,1,10K,
13,"SW1, SW2",SW_Push_SPST_NO_Alps_SKRK,2,SW_Push,
14,U1,SOT-23,1,MCP1700x-330xxTT,
15,U2,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
16,U3,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,W25Q16JVZPIQ TR,
17,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12 MHz,
